# PathPlanner CSV Format:
# timeSeconds, xPositionMeters, yPositionMeters, headingDegrees, velocityMetersPerSecond, accelerationMetersPerSecondSq, curvatureRadPerMeter, holonomicRotationDegrees, angularVelocityDegreesPerSec, holonomicAngularVelocityDegreesPerSec
 1.042777558512233,3.524009629339815,2.1787584259632067,179.20028431332162,-3.1283326755366994,-3.0,0.0014405043777424172,0.0,-0.2588075040026325,0.0
 1.0500974913136167,3.5469869374488177,2.1784369355288655,179.19838985978384,-3.1502924739408504,-2.99999999999997,0.0013817157927521362,0.0,-0.24998729392849123,0.0
 1.0573827266736644,3.570014907362385,2.1781140041365803,179.19656864351055,-3.172148180020993,-2.9999999999999694,0.001323944548913102,0.0,-0.2411961464616297,0.0
 1.0646334633503571,3.593091899385607,2.1777896807634534,179.19481979376513,-3.193900390051071,-2.9999999999999694,0.0012671393330807002,0.0,-0.2324301765179732,0.0
 1.07184989137878,3.616216273823577,2.1774640143865893,179.19314247812466,-3.2155496741363394,-2.9999999999999694,0.0012112563554423036,0.0,-0.22368550817989208,0.0
 1.0790321924248294,3.639386390981384,2.1771370539830914,179.19153590146527,-3.2370965772744875,-2.999999999999969,0.0011562510830044903,0.0,-0.2149582668671196,0.0
 1.0861805401205045,3.662600611164119,2.1768088485300634,179.18999930503364,-3.258541620361513,-3.000000000000031,0.0011020798820089838,0.0,-0.20624457894786252,0.0
 1.0932951003818987,3.6858572946768735,2.176479447004609,179.18853196554812,-3.2798853011456957,-3.0,0.0010487021196256534,0.0,-0.19754056763371827,0.0
 1.100376031710931,3.7091548018247384,2.1761488983838313,179.187133194354,-3.301128095132792,-2.9999999999999374,0.0009960740874164868,0.0,-0.18884234888680793,0.0
 1.1074234854817877,3.732491492912804,2.175817251644835,179.18580233663025,-3.3222704564453616,-2.9999999999999054,0.0009441526566899065,0.0,-0.1801460304703566,0.0
 1.1144376062129757,3.755865728246161,2.1754845557647235,179.1845387706233,-3.3433128186389256,-3.0,0.0008929098068225541,0.0,-0.17144770534875642,0.0
 1.1214185318258265,3.779275868129902,2.1751508597206004,179.18334190694574,-3.364255595477478,-3.0,0.0008422981867507839,0.0,-0.16274345082826325,0.0
 1.1283663938902337,3.802720272869116,2.1748162124895685,179.1822111878975,-3.3850991816707,-3.000000000000064,0.0007922859512011699,0.0,-0.154029322532448,0.0
 1.135281317858358,3.8261973027688945,2.1744806630487323,179.18114608684334,-3.405843953575073,-3.0,0.0007428383542216535,0.0,-0.1453013539957767,0.0
 1.142163423286978,3.849705318134329,2.1741442603751957,179.18014610760622,-3.4264902698609334,-3.000000000000097,0.000693916605022211,0.0,-0.1365555499654442,0.0
 1.1490128240491273,3.8732426792705095,2.173807053446062,179.17921078391822,-3.4470384721473812,-2.9999999999999676,0.0006454927019636827,0.0,-0.12778788344578748,0.0
 1.1558296285356138,3.8968077464825273,2.173469091238435,179.178339678901,-3.4674888856068407,-3.0,0.0005975285833081577,0.0,-0.11899429322401847,0.0
 1.1626139398469775,3.9203988800754734,2.1731304227294177,179.1775323845715,-3.487841819540932,-3.000000000000033,0.0005499871204502683,0.0,-0.1101706770489582,0.0
 1.1693658559764102,3.9440144403544384,2.1727910968961144,179.17678852140017,-3.5080975679292306,-3.0000000000000657,0.0005028449072711367,0.0,-0.10131289073037748,0.0
 1.1760854699841263,3.9676527876245133,2.1724511627156287,179.17610773788044,-3.528256409952379,-3.0,0.0004560667014101912,0.0,-0.09241674148896732,0.0
 1.1827728701636413,3.9913122821907896,2.1721106691650647,179.17548971014682,-3.5483186104909237,-2.9999999999999667,0.0004096242387400357,0.0,-0.08347798555423952,0.0
 1.1894281402003894,4.0149912843583575,2.1717696652215253,179.17493414161083,-3.5682844206011683,-3.0000000000000333,0.0003634831456197517,0.0,-0.07449232109554638,0.0
 1.1960513593230844,4.038688154432308,2.1714281998621145,179.17444076264528,-3.588154077969253,-3.0,0.00031762463625616203,0.0,-0.06545538717357059,0.0
 1.2026426024481982,4.062401252717732,2.171086322063936,179.17400933027454,-3.6079278073445953,-3.0000000000001013,0.00027199704920759834,0.0,-0.05636275557188479,0.0
 1.2092019403179204,4.086128939519721,2.1707440808040936,179.17363962791748,-3.6276058209537623,-3.0000000000000675,0.00022659293711327927,0.0,-0.04720992962293652,0.0
 1.2157294396319216,4.109869575143364,2.170401525059691,179.17333146513425,-3.6471883188957657,-2.999999999999966,0.00018136640125895987,0.0,-0.03799233504389569,0.0
 1.2222251631732495,4.1336215198937545,2.170058703807831,179.1730846774291,-3.6666754895197498,-3.0000000000000684,0.0001363062331781456,0.0,-0.02870531844637627,0.0
 1.2286891699286382,4.157383134075982,2.1697156660256183,179.1728991260568,-3.686067509785916,-3.000000000000034,0.00009136217350233005,0.0,-0.019344139991852482,0.0
 1.2351215152035222,4.181152777995137,2.1693724606901563,179.1727746978693,-3.7053645456105686,-3.000000000000069,0.000046567218344875685,0.0,-0.009903969391304265,0.0
 1.2415222507320083,4.204928811956311,2.169029136778548,179.17271130518054,-3.7245667521960266,-2.9999999999999654,0.000002031645903004413,0.0,-0.0003798775548961152,0.0
 1.247891424782056,4.228709596264595,2.1686857432678983,179.1727088856743,-3.74367427434617,-3.000000000000035,-0.00004294317088397417,0.0,0.009233165264102415,0.0
 1.2542290822561004,4.2524934912250805,2.1683423291353106,179.1727674023131,-3.7626872467683032,-3.0,-0.00008763295441313777,0.0,0.018940298642110293,0.0
 1.260535264787334,4.276278857142857,2.1679989433578872,179.17288684329355,-3.781605794362004,-3.0,-0.00013234298836094615,0.0,0.028746779037598924,0.0
 1.2668100108318576,4.300064054323015,2.1676556349127334,179.17306722203162,-3.8004300324955747,-2.9999999999999645,-0.00017709568184974043,0.0,0.03865798131995802,0.0
 1.2730533557568937,4.3238474430706475,2.167312452776952,179.1733085771431,-3.819160067270683,-3.0,-0.000221906572916579,0.0,0.048451283011779166,0.0
 1.2792945805391043,4.347627383690845,2.1669694459276467,179.17361097249136,-3.8019127582680894,2.763449419696232,-0.00026681333505487737,0.0,0.0579825820017037,0.0
 1.2855641312046793,4.371402236488697,2.1666266633419213,179.17397449722696,-3.7831041062713644,3.0,-0.000311840040777791,0.0,0.06743334260047205,0.0
 1.291863220558221,4.395170361769294,2.16628415399688,179.17439926587738,-3.764206838210739,3.0,-0.0003570173420770654,0.0,0.07681789168118157,0.0
